DL
N=16
TITLE = "RHESUS.DAT"
FORMAT = FULLMATRIX DIAGONAL PRESENT
LABELS:
"066","R006","CN","ER","CY","EC","EZ","004","065","022","076"
"AC","EK","DL","KD","KE"

DATA:
  0  0  0  0  0  0  0  3  4  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
  0  0  0 15  8  0  2  0  2  1  9  3  1  0  4  2
 17  0  5  0  0  0  8  0  1  0  4  0  3  1  0  0
  0  0  5  0  0  0  2  1  0  2  0  0  0  0  0 11
  0  0  0  0  0  0  0  2  2  1  0  3  1  3  0  0
  0  0  0 11  1  0  0  0  0  0  0  0  0  0  0  0
 49  3  0  0  0  1  0  0 41  3  2  1  6  9  0  0
 25  0  0  0  0  0  0  8  0  5  1  9  2 21  2  0
  0  0  0  0  0  0  0  4  6  0  0  4  0  1  2  6
  1  0  5  3  0  0  0  4  4  2  0  8  5 11 16  0
  5  0  1  0  0  5  0  9  7  4  1  0  0 10  1  0
  0  0  2  1  0  0  3  3 24  0  4  5  0 25  2  1
  0  1  0  0  0  4  0  6 23  0  4 13  2  0  0  1
  1  0  2  0  0  0  0  0  9  2 21  3  4  5  0  0
  0  3  0  0  1  0  1  1  1  8  1  0  5  2  1  0
